"Angebote";"Visits gesamt";"Visits gesamt Inland";"Visits gesamt Anteil Inland";"Visits gesamt Ausland";"online Visits gesamt";"online Visits Inland";"online Visits Ausland";"mobile Visits gesamt";"mobile Visits Inland";"mobile Visits Ausland";"Connected TV Visits gesamt";"Connected TV Visits Inland";"Connected TV Visits Ausland";
"1&1 Internet AG ";;;;;;;;;;;;;;


"Ein Herz für Tiere Netzwerk";662.222;553.153;84 %;109.069;662.222;553.153;109.069;;;;;;;

"Einzelhandel.de";29.057;25.669;88 %;3.388;29.057;25.669;3.388;;;;;;;

"Eisenbahnwelt.de";24.741;18.045;73 %;6.696;24.741;18.045;6.696;;;;;;;

"Elbe-Jeetzel-Zeitung online";101.570;93.535;92 %;8.035;101.570;93.535;8.035;;;;;;;

"Elektro.net";71.195;63.037;89 %;8.158;71.195;63.037;8.158;;;;;;;

"elektroboerse-handel.de";6.513;5.348;82 %;1.165;6.513;5.348;1.165;;;;;;;

"Elektrobörse-Smarthouse";16.731;14.425;86 %;2.306;16.731;14.425;2.306;;;;;;;

"Elektromarkt";2.383;994;42 %;1.389;2.383;994;1.389;;;;;;;

"Elektroniknet";568.388;444.893;78 %;123.495;568.388;444.893;123.495;;;;;;;

"Elektronikpraxis.de";376.171;305.678;81 %;70.493;376.171;305.678;70.493;;;;;;;

"Elektrotechnik.de";77.130;63.110;82 %;14.020;77.130;63.110;14.020;;;;;;;

"ElitePartner";2.999.196;2.848.328;95 %;150.868;2.999.196;2.848.328;150.868;;;;;;;

"ELLE";6.432.259;5.413.178;84 %;1.019.081;1.493.789;1.230.439;263.350;4.938.470;4.182.739;755.731;;;;


"Eltern.de";11.073.302;9.497.413;86 %;1.575.889;2.416.022;1.956.542;459.480;8.657.280;7.540.871;1.116.409;;;;




"energie-und-management.de";100.056;97.202;97 %;2.854;100.056;97.202;2.854;;;;;;;

"energiesparen im Haushalt";118.539;105.356;89 %;13.183;118.539;105.356;13.183;;;;;;;

"energiespektrum";12.657;10.828;86 %;1.829;12.657;10.828;1.829;;;;;;;

"enorm Magazin online";113.385;96.228;85 %;17.157;113.385;96.228;17.157;;;;;;;

"entertainweb";34.817.148;31.974.118;92 %;2.843.030;34.817.148;31.974.118;2.843.030;;;;;;;

"Epoch Times Deutschland";4.717.950;4.003.729;85 %;714.221;4.717.950;4.003.729;714.221;;;;;;;

"erdbeerlounge.de";10.722.048;8.890.130;83 %;1.831.918;1.522.316;1.130.962;391.354;9.199.732;7.759.168;1.440.564;;;;


"essen-und-trinken.de";11.454.093;10.018.427;87 %;1.435.666;6.056.496;5.242.767;813.729;5.397.597;4.775.660;621.937;;;;




"etailment";230.113;194.140;84 %;35.973;197.486;166.005;31.481;32.627;28.135;4.492;;;;


"ETMM Online";18.553;5.029;27 %;13.524;18.553;5.029;13.524;;;;;;;

"EuroTransportMedia";146.432;116.269;79 %;30.163;78.650;59.205;19.445;67.782;57.064;10.718;;;;


"evangelisch.de";604.057;543.645;90 %;60.412;604.057;543.645;60.412;;;;;;;

"Express Online";37.005.759;34.987.121;95 %;2.018.638;15.017.879;13.944.648;1.073.231;21.987.880;21.042.473;945.407;;;;


"Eßlinger Zeitung online";505.073;473.925;94 %;31.148;505.073;473.925;31.148;;;;;;;

"fachmedien & mittelstand digital";3.047.647;2.618.311;86 %;429.336;2.392.722;2.019.533;373.189;654.925;598.778;56.147;;;;


"Fahrzeug + Karosserie";22.754;21.310;94 %;1.444;22.754;21.310;1.444;;;;;;;

"Falk";3.216.835;3.040.954;95 %;175.881;2.768.200;2.609.388;158.812;448.635;431.566;17.069;;;;


"Falstaff - Ihr Portal für Wein & Genuss";159.229;133.451;84 %;25.778;159.229;133.451;25.778;;;;;;;

"familie.de";3.147.834;2.711.214;86 %;436.620;3.147.834;2.711.214;436.620;;;;;;;

"Familotel";282.027;206.652;73 %;75.375;282.027;206.652;75.375;;;;;;;

"FAZ.NET";62.431.914;52.395.478;84 %;10.036.436;28.952.215;23.591.000;5.361.215;33.479.699;28.804.478;4.675.221;;;;




"Feierabend.de";828.903;763.615;92 %;65.288;667.194;613.780;53.414;161.709;149.835;11.874;;;;


"ferien.de";39.393;31.314;79 %;8.079;39.393;31.314;8.079;;;;;;;

"Festivalguide ";;;;;;;;;;;;;;

"FeWo-direkt.de";8.259.817;7.181.557;87 %;1.078.260;8.259.817;7.181.557;1.078.260;;;;;;;

"Filmstarts.de";8.907.188;7.352.170;83 %;1.555.018;8.517.145;6.998.418;1.518.727;390.043;353.752;36.291;;;;




"FinanceScout24";782.500;724.796;93 %;57.704;512.949;473.993;38.956;269.551;250.803;18.748;;;;


"finanzen.net - Das Finanzportal";39.129.016;32.322.560;83 %;6.806.456;28.371.257;23.323.287;5.047.970;10.757.759;8.999.273;1.758.486;;;;








"Finanzen100";9.946.297;8.089.234;81 %;1.857.063;1.280.652;1.052.135;228.517;8.665.645;7.037.099;1.628.546;;;;







"finanzfernsehen.de";250.576;247.779;99 %;2.797;250.576;247.779;2.797;;;;;;;

"FinanzNachrichten.de";4.784.615;3.758.889;79 %;1.025.726;4.784.615;3.758.889;1.025.726;;;;;;;

"finanztreff.de";2.542.033;2.100.601;83 %;441.432;2.239.109;1.858.208;380.901;302.924;242.393;60.531;;;;


"FIRMENAUTO";102.673;83.808;82 %;18.865;60.585;48.164;12.421;42.088;35.644;6.444;;;;


"FIRMENWISSEN";1.549.321;1.368.914;88 %;180.407;1.549.321;1.368.914;180.407;;;;;;;

"FIRST IN FOOD";4.203.348;3.563.745;85 %;639.603;1.548.274;1.300.534;247.740;2.655.074;2.263.211;391.863;;;;


"FIT FOR FUN.de";4.182.627;3.424.036;82 %;758.591;1.278.687;1.040.338;238.349;2.903.940;2.383.698;520.242;;;;


"FIT GESUND SCHOEN";1.747.850;1.491.686;85 %;256.164;1.747.850;1.491.686;256.164;;;;;;;

"Fitbook";2.582.116;2.319.939;90 %;262.177;988.479;863.368;125.111;1.593.637;1.456.571;137.066;;;;


"flaconi";2.150.148;1.979.145;92 %;171.003;2.150.148;1.979.145;171.003;;;;;;;

"fleischerei";18.036;14.759;82 %;3.277;18.036;14.759;3.277;;;;;;;

"Fleischwirtschaft.de";53.731;40.810;76 %;12.921;44.741;33.550;11.191;8.990;7.260;1.730;;;;




"Flughafen Düsseldorf";1.186.584;973.701;82 %;212.883;505.837;397.996;107.841;680.747;575.705;105.042;;;;


"Flugrevue & aero.de";2.201.312;1.709.812;78 %;491.500;821.808;618.790;203.018;1.379.504;1.091.022;288.482;;;;


"fluid";31.153;27.278;88 %;3.875;31.153;27.278;3.875;;;;;;;

"FNweb";226.975;204.707;90 %;22.268;138.363;119.481;18.882;88.612;85.226;3.386;;;;


"FOCUS ONLINE";182.861.685;166.553.861;91 %;16.307.824;71.590.186;63.562.246;8.027.940;111.258.956;102.982.627;8.276.329;12.543;8.988;3.555;








"foerderland - Wissen für Gründer und Unternehmer";252.271;210.668;84 %;41.603;252.271;210.668;41.603;;;;;;;

"Form-Werkzeug.de";19.769;15.808;80 %;3.961;19.769;15.808;3.961;;;;;;;

"Formel1.de";919.542;737.593;80 %;181.949;;;;919.542;737.593;181.949;;;;


"fotomagazin.de";171.503;144.791;84 %;26.712;171.503;144.791;26.712;;;;;;;

"Frag-Mutti.de";3.946.727;3.394.240;86 %;552.487;3.946.727;3.394.240;552.487;;;;;;;

"Frankenpost online";1.210.455;1.167.329;96 %;43.126;1.057.008;1.017.358;39.650;153.447;149.971;3.476;;;;



"Frankfurter Neue Presse";3.087.206;2.739.261;89 %;347.945;1.508.232;1.289.669;218.563;1.578.974;1.449.592;129.382;;;;


"Frankfurter Rundschau online";5.280.966;4.255.072;81 %;1.025.894;2.615.927;1.827.241;788.686;2.665.039;2.427.831;237.208;;;;


"freenet.de";45.104.214;43.215.806;96 %;1.888.408;22.361.826;21.259.094;1.102.732;22.742.388;21.956.712;785.676;;;;




"Freie Presse Online";3.106.564;2.931.445;94 %;175.119;1.359.506;1.243.074;116.432;1.747.058;1.688.371;58.687;;;;


"Freies Wort-Online";808.522;778.435;96 %;30.087;808.522;778.435;30.087;;;;;;;

"Freizeit Revue";92.726;76.780;83 %;15.946;92.726;76.780;15.946;;;;;;;

"freshme";316.763;311.311;98 %;5.452;316.763;311.311;5.452;;;;;;;

"freundin online";5.972.074;5.020.275;84 %;951.799;1.235.100;999.159;235.941;4.736.974;4.021.116;715.858;;;;


"Für Sie";1.465.912;1.255.723;86 %;210.189;630.521;542.212;88.309;835.391;713.511;121.880;;;;


"Für-Gründer.de";718.838;654.033;91 %;64.805;718.838;654.033;64.805;;;;;;;

"Fuldaer Zeitung";519.219;497.371;96 %;21.848;185.814;176.164;9.650;333.405;321.207;12.198;;;;


"FUNKE MEDIEN NRW";34.880.822;33.192.059;95 %;1.688.763;11.615.548;10.792.387;823.161;23.265.274;22.399.672;865.602;;;;


"funkschau.de";73.978;63.467;86 %;10.511;73.978;63.467;10.511;;;;;;;

"FuPa Eigengebiete";1.144.806;1.073.774;94 %;71.032;1.144.806;1.073.774;71.032;;;;;;;

"Fussballfunk ";;;;;;;;;;;;;;


"fvw.de";475.769;400.983;84 %;74.786;447.077;377.613;69.464;28.692;23.370;5.322;;;;


"Gabler Wirtschaftslexikon Online";2.409.461;2.122.608;88 %;286.853;1.629.505;1.421.681;207.824;779.956;700.927;79.029;;;;


"Gäubote - Die Herrenberger Zeitung";192.854;179.668;93 %;13.186;192.854;179.668;13.186;;;;;;;

"Gala.de";28.840.776;22.714.622;79 %;6.126.154;7.307.915;5.852.740;1.455.175;21.532.861;16.861.882;4.670.979;;;;




"Galileo";32.221;31.488;98 %;733;;;;32.221;31.488;733;;;;


"GameStar";23.063.909;20.060.904;87 %;3.003.005;23.063.909;20.060.904;3.003.005;;;;;;;

"Gameswelt";4.948.432;4.088.319;83 %;860.113;1.075.786;870.074;205.712;3.872.646;3.218.245;654.401;;;;


"Gamesworld.de";15.988.799;13.886.432;87 %;2.102.367;15.988.799;13.886.432;2.102.367;;;;;;;

"Gamona";2.704.671;2.337.057;86 %;367.614;1.124.598;973.603;150.995;1.580.073;1.363.454;216.619;;;;


"GCM Go City Media";227.289;210.152;92 %;17.137;227.289;210.152;17.137;;;;;;;

"GEA online";474.491;433.484;91 %;41.007;474.491;433.484;41.007;;;;;;;

"Gebäude-Energieberater";40.485;36.877;91 %;3.608;34.404;31.384;3.020;6.081;5.493;588;;;;


"gebäudetechnik + handwerk";6.473;5.430;84 %;1.043;6.473;5.430;1.043;;;;;;;

"GelbeSeiten";8.017.601;7.525.828;94 %;491.773;5.010.796;4.716.424;294.372;3.006.805;2.809.404;197.401;;;;







"General-Anzeiger Online";2.900.074;2.735.839;94 %;164.235;1.405.318;1.296.702;108.616;1.494.756;1.439.137;55.619;;;;


"General-Anzeiger-Rhauderfehn";238.032;231.257;97 %;6.775;238.032;231.257;6.775;;;;;;;

"germanblogs.de";39.065;29.157;75 %;9.908;39.065;29.157;9.908;;;;;;;

"GesünderNet";7.490.506;6.367.864;85 %;1.122.642;7.490.506;6.367.864;1.122.642;;;;;;;

"gesundheit.de";6.164.876;4.941.971;80 %;1.222.905;2.244.524;1.798.579;445.945;3.920.352;3.143.392;776.960;;;;


"Gießener Allgemeine";631.657;587.883;93 %;43.774;631.657;587.883;43.774;;;;;;;

"GIGA.de";15.831.837;13.414.387;85 %;2.417.450;15.831.837;13.414.387;2.417.450;;;;;;;

"GLAMOUR.de";2.993.039;2.445.685;82 %;547.354;857.594;710.253;147.341;2.135.445;1.735.432;400.013;;;;




"Glas Fenster Fassade";9.537;8.044;84 %;1.493;9.537;8.044;1.493;;;;;;;

"GLASWELT";52.151;43.888;84 %;8.263;38.569;32.211;6.358;13.582;11.677;1.905;;;;


"Gmünder Tagespost";318.822;300.271;94 %;18.551;318.822;300.271;18.551;;;;;;;

"GMX ";;;;;;;;;;;;;;




"Goal.com";1.907.483;1.883.876;99 %;23.607;1.907.483;1.883.876;23.607;;;;;;;

"gofeminin";17.068.128;14.292.316;84 %;2.775.812;4.073.956;3.333.811;740.145;12.994.172;10.958.505;2.035.667;;;;


"Golem.de";11.480.532;9.970.049;87 %;1.510.483;6.071.050;5.182.126;888.924;5.409.482;4.787.923;621.559;;;;


"Golf Netzwerk - HOLE IN ONE Golf Media";481.719;246.439;51 %;235.280;481.719;246.439;235.280;;;;;;;

"Golf Post -  Das Onlinemagazin für Golfer";199.721;166.141;83 %;33.580;110.143;91.238;18.905;89.578;74.903;14.675;;;;


"Golf.de - das Internetportal für den Golfsport";800.696;718.038;90 %;82.658;800.696;718.038;82.658;;;;;;;

"Golfmagazin.de";37.911;23.166;61 %;14.745;37.911;23.166;14.745;;;;;;;

"goslarsche.de";715.578;691.165;97 %;24.413;715.578;691.165;24.413;;;;;;;

"GOURMETWELTEN";170.426;139.508;82 %;30.918;170.426;139.508;30.918;;;;;;;

"GQ.de";1.349.878;1.133.217;84 %;216.661;587.488;487.549;99.939;762.390;645.668;116.722;;;;


"GRAZIA-magazin.de";606.836;484.670;80 %;122.166;452.572;349.591;102.981;154.264;135.079;19.185;;;;


"Gründerszene.de";1.935.560;1.672.361;86 %;263.199;1.935.560;1.672.361;263.199;;;;;;;

"guenstiger.de";2.047.556;1.749.992;85 %;297.564;2.047.556;1.749.992;297.564;;;;;;;

"gutefrage.net";49.651.369;43.225.872;87 %;6.425.497;19.273.207;16.621.869;2.651.338;30.378.162;26.604.003;3.774.159;;;;


"Guter Rat.de";109.920;98.349;89 %;11.571;109.920;98.349;11.571;;;;;;;

"GW trends Online";18.392;16.183;88 %;2.209;18.392;16.183;2.209;;;;;;;

"Gymondo";319.224;276.509;87 %;42.715;319.224;276.509;42.715;;;;;;;

"Haller Kreisblatt";186.473;175.699;94 %;10.774;72.189;64.374;7.815;114.284;111.325;2.959;;;;


"Hallo-Eltern.de";1.640.109;1.250.851;76 %;389.258;186.040;154.689;31.351;1.454.069;1.096.162;357.907;;;;


"hamburg.de";4.194.558;3.947.432;94 %;247.126;2.432.916;2.263.410;169.506;1.761.642;1.684.022;77.620;;;;


"Hamburger Abendblatt Online";9.418.093;8.365.151;89 %;1.052.942;4.369.399;3.601.030;768.369;5.048.694;4.764.121;284.573;;;;




"Hamburger Morgenpost Online";15.430.566;14.476.298;94 %;954.268;7.860.479;7.280.887;579.592;7.570.087;7.195.411;374.676;;;;


"handball-world.com";1.162.465;1.055.393;91 %;107.072;1.162.465;1.055.393;107.072;;;;;;;

"Handelsblatt.com";21.800.603;17.793.359;82 %;4.007.244;14.109.281;11.222.262;2.887.019;7.691.322;6.571.097;1.120.225;;;;




"handling";154.361;124.785;81 %;29.576;154.361;124.785;29.576;;;;;;;

"handwerk-magazin";151.461;141.733;94 %;9.728;151.461;141.733;9.728;;;;;;;

"Hannover";921.390;872.732;95 %;48.658;505.632;469.056;36.576;415.758;403.676;12.082;;;;


"hanser-automotive.de";14.806;11.316;76 %;3.490;14.806;11.316;3.490;;;;;;;

"Hanser-Konstruktion.de";14.995;12.211;81 %;2.784;14.995;12.211;2.784;;;;;;;

"harmony.fm";224.442;201.040;90 %;23.402;129.032;115.444;13.588;95.410;85.596;9.814;;;;



"Harper´s BAZAAR";911.489;758.826;83 %;152.663;183.708;149.032;34.676;727.781;609.794;117.987;;;;


"Harvard Business Manager";117.523;93.766;80 %;23.757;117.523;93.766;23.757;;;;;;;

"haufe.de";4.894.190;4.693.522;96 %;200.668;4.894.190;4.693.522;200.668;;;;;;;

"Hausgarten.net";2.068.903;1.726.988;83 %;341.915;2.068.903;1.726.988;341.915;;;;;;;

"Hausjournal.net";1.722.297;1.494.854;87 %;227.443;1.722.297;1.494.854;227.443;;;;;;;

"haustec.de";323.371;292.484;90 %;30.887;258.336;233.045;25.291;65.035;59.439;5.596;;;;


"HaustechnikDialog";1.911.825;1.674.232;88 %;237.593;1.911.825;1.674.232;237.593;;;;;;;

"HAZOnline";5.752;5.457;95 %;295;5.752;5.457;295;;;;;;;

"Health & Care Management";19.804;17.924;91 %;1.880;19.804;17.924;1.880;;;;;;;

"Heidelberg24";1.138.501;1.091.358;96 %;47.143;533.890;509.570;24.320;604.611;581.788;22.823;;;;


"Heilbronner Stimme online";3.000.335;2.869.475;96 %;130.860;1.095.297;1.031.970;63.327;1.905.038;1.837.505;67.533;;;;


"Heinze";638.613;552.252;86 %;86.361;638.613;552.252;86.361;;;;;;;

"heise online";35.422.409;30.368.751;86 %;5.053.658;23.926.632;20.376.162;3.550.470;11.495.777;9.992.589;1.503.188;;;;




"HeizungsJournal";34.959;31.574;90 %;3.385;34.959;31.574;3.385;;;;;;;

"Hellweg Radio";106.336;104.696;98 %;1.640;106.336;104.696;1.640;;;;;;;

"helpster";2.211.491;1.957.513;89 %;253.978;1.311.296;1.157.864;153.432;900.195;799.649;100.546;;;;


"Hersfelder Zeitung Online";476.013;450.102;95 %;25.911;259.531;243.186;16.345;216.482;206.916;9.566;;;;


"hifi.de";4.348.571;3.653.120;84 %;695.451;4.348.571;3.653.120;695.451;;;;;;;

"hifitest.de";538.762;426.926;79 %;111.836;538.762;426.926;111.836;;;;;;;

"HIGHLIGHT Web";11.282;7.498;66 %;3.784;11.282;7.498;3.784;;;;;;;

"Hildesheimer Allgemeine Zeitung";765.264;730.493;95 %;34.771;602.308;571.354;30.954;162.956;159.139;3.817;;;;


"HIT RADIO FFH";4.073.045;3.857.706;95 %;215.339;1.000.438;908.637;91.801;3.072.607;2.949.069;123.538;;;;




"Hitradio Ohr";215.380;209.241;97 %;6.139;215.380;209.241;6.139;;;;;;;

"HNA online";9.139.160;8.710.188;95 %;428.972;5.255.793;4.954.266;301.527;3.883.367;3.755.922;127.445;;;;


"HÖRZU";21.779.574;20.252.004;93 %;1.527.570;5.569.557;4.688.272;881.285;16.210.017;15.563.732;646.285;;;;




"holidaycheck";24.134.080;20.341.952;84 %;3.792.128;16.336.963;13.118.998;3.217.965;7.797.117;7.222.954;574.163;;;;


"homesolute.com";522.241;331.835;64 %;190.406;522.241;331.835;190.406;;;;;;;

"HORIZONT.NET";1.739.289;1.488.255;86 %;251.034;1.270.573;1.073.942;196.631;468.716;414.313;54.403;;;;




"hotelbau";7.190;5.738;80 %;1.452;7.190;5.738;1.452;;;;;;;

"HuffPost";17.756.161;15.924.188;90 %;1.831.973;5.965.969;5.255.203;710.766;11.790.192;10.668.985;1.121.207;;;;





"I LOVE RADIO - ILOVERADIO.de";852.096;720.892;85 %;131.204;270.762;226.233;44.529;581.334;494.659;86.675;;;;


"Idowa Online";1.755.925;1.684.602;96 %;71.323;884.179;837.230;46.949;871.746;847.372;24.374;;;;


"IGN Deutschland";2.297.514;1.811.403;79 %;486.111;2.297.514;1.811.403;486.111;;;;;;;

"IKZ - Fachportal für die SHK-Branche";213.971;189.285;88 %;24.686;213.971;189.285;24.686;;;;;;;

"Immobilien Zeitung";618.444;530.601;86 %;87.843;618.444;530.601;87.843;;;;;;;

"ImmobilienScout24";84.604.896;80.840.994;96 %;3.763.902;27.050.071;25.266.656;1.783.415;57.554.825;55.574.338;1.980.487;;;;




"impulse.de";726.149;661.182;91 %;64.967;726.149;661.182;64.967;;;;;;;

"industrieBAU";3.052;2.528;83 %;524;2.539;2.095;444;513;433;80;;;;


"Industry of Things";81.699;64.367;79 %;17.332;81.699;64.367;17.332;;;;;;;

"Industrystock";673.088;673.079;100 %;9;591.578;591.572;6;81.510;81.507;3;;;;


"inFranken.de (Mediengruppe Oberfranken)";5.670.235;5.351.704;94 %;318.531;1.362.839;1.195.006;167.833;4.307.396;4.156.698;150.698;;;;




"ingenieur.de";593.241;507.919;86 %;85.322;408.080;344.910;63.170;185.161;163.009;22.152;;;;


"innovations-report";67.010;43.780;65 %;23.230;67.010;43.780;23.230;;;;;;;

"inside-handy.de";2.980.018;2.604.695;87 %;375.323;2.980.018;2.604.695;375.323;;;;;;;

"InStyle";5.673.320;4.704.413;83 %;968.907;1.110.679;924.597;186.082;4.562.641;3.779.816;782.825;;;;


"inSüdthüringen.de App";106.829;104.609;98 %;2.220;;;;106.829;104.609;2.220;;;;


"Integrale Planung";22.998;20.470;89 %;2.528;22.998;20.470;2.528;;;;;;;

"internetworld.de";624.266;469.837;75 %;154.429;541.751;397.467;144.284;82.515;72.370;10.145;;;;


"Intro.de ";;;;;;;;;;;;;;

"IP-Insider";197.581;142.424;72 %;55.157;197.581;142.424;55.157;;;;;;;

"IT-Business.de";294.872;260.243;88 %;34.629;294.872;260.243;34.629;;;;;;;

"IT-Times.de";93.851;70.394;75 %;23.457;93.851;70.394;23.457;;;;;;;

"ItsinTV";1.924.389;910.746;47 %;1.013.643;1.924.389;910.746;1.013.643;;;;;;;

"ivz-aktuell";275.124;266.915;97 %;8.209;275.124;266.915;8.209;;;;;;;

"IWW Institut für Wissen in der Wirtschaft GmbH";1.320.273;1.260.333;95 %;59.940;635.176;607.866;27.310;685.097;652.467;32.630;;;;


"JAM FM";211.199;193.611;92 %;17.588;77.378;69.097;8.281;133.821;124.514;9.307;;;;




"jameda";13.134.403;12.739.341;97 %;395.062;5.513.864;5.240.389;273.475;7.620.539;7.498.952;121.587;;;;


"Jeversches Wochenblatt";92.672;86.466;93 %;6.206;92.672;86.466;6.206;;;;;;;

"Jolie.de";2.630.737;2.233.364;85 %;397.373;971.940;820.118;151.822;1.658.797;1.413.246;245.551;;;;


"Journal für Oberflächentechnik JOT";3.618;2.877;80 %;741;3.618;2.877;741;;;;;;;

"Junge Freiheit online";2.547.171;2.299.212;90 %;247.959;2.547.171;2.299.212;247.959;;;;;;;

"ka-news.de";1.488.416;1.427.233;96 %;61.183;639.986;607.139;32.847;848.430;820.094;28.336;;;;




"kabeleins online";2.154.386;2.093.755;97 %;60.631;1.942.621;1.890.190;52.431;211.765;203.565;8.200;;;;





"Kachelmannwetter.com";2.783.176;2.379.207;85 %;403.969;2.783.176;2.379.207;403.969;;;;;;;

"kalaydo.de - das regionale Findernet";2.169.487;2.009.238;93 %;160.249;1.173.369;1.065.464;107.905;996.118;943.774;52.344;;;;


"Kardiologie.org";68.398;57.635;84 %;10.763;68.398;57.635;10.763;;;;;;;

"karriere";551.098;514.418;93 %;36.680;551.098;514.418;36.680;;;;;;;

"katholisch.de";1.299.333;1.108.581;85 %;190.752;1.299.333;1.108.581;190.752;;;;;;;

"kaufDA ";14.371.630;13.961.344;97 %;410.286;;;;14.371.630;13.961.344;410.286;;;;




"ke-next.de";51.332;42.593;83 %;8.739;51.332;42.593;8.739;;;;;;;

"kfz-betrieb";843.946;790.811;94 %;53.135;843.946;790.811;53.135;;;;;;;

"KGK-Rubberpoint";5.471;2.938;54 %;2.533;5.471;2.938;2.533;;;;;;;

"KI-Portal";6.202;4.830;78 %;1.372;6.202;4.830;1.372;;;;;;;

"kicker Fußball Quiz";2.860;2.731;95 %;129;;;;2.860;2.731;129;;;;


"kicker online";128.346.694;119.114.079;93 %;9.232.615;22.953.356;20.139.120;2.814.236;105.393.338;98.974.959;6.418.379;;;;





"kimeta.de";2.492.672;2.401.116;96 %;91.556;1.164.717;1.112.235;52.482;1.327.955;1.288.881;39.074;;;;


"kino-zeit.de";863.129;817.368;95 %;45.761;863.129;817.368;45.761;;;;;;;

"kino.de";14.754.576;12.499.925;85 %;2.254.651;4.562.330;3.835.110;727.220;10.192.246;8.664.815;1.527.431;;;;




"Kinonaut";775;713;92 %;62;775;713;62;;;;;;;

"Kinopolis";1.590.735;1.567.555;99 %;23.180;1.590.735;1.567.555;23.180;;;;;;;

"KISS FM";91.072;78.863;87 %;12.209;91.072;78.863;12.209;;;;;;;

"Klack App";6.396.486;6.122.986;96 %;273.500;;;;6.396.486;6.122.986;273.500;;;;


"Klassik Radio";626.612;441.814;71 %;184.798;626.612;441.814;184.798;;;;;;;

"kma Online";80.229;73.567;92 %;6.662;80.229;73.567;6.662;;;;;;;

"Knuddels.de";1.626.421;1.530.891;94 %;95.530;1.626.421;1.530.891;95.530;;;;;;;

"Kochbar";10.326.385;9.141.805;89 %;1.184.580;10.048.413;8.881.697;1.166.716;277.972;260.108;17.864;;;;



"Kochmeister.com";60.573;46.215;76 %;14.358;60.573;46.215;14.358;;;;;;;

"Koeln.de";3.326.577;3.115.165;94 %;211.412;2.669.568;2.490.733;178.835;657.009;624.432;32.577;;;;


"Kölner Stadt-Anzeiger Online";10.043.188;9.383.858;93 %;659.330;5.104.250;4.689.452;414.798;4.938.938;4.694.406;244.532;;;;


"Kölnische Rundschau";2.008.655;1.873.340;93 %;135.315;1.092.896;1.006.261;86.635;915.759;867.079;48.680;;;;


"Kompass";106.834;68.835;64 %;37.999;106.834;68.835;37.999;;;;;;;

"Konstruktionspraxis.de";154.118;126.892;82 %;27.226;154.118;126.892;27.226;;;;;;;

"KREISZEITUNG Böblinger Bote";241.560;225.555;93 %;16.005;241.560;225.555;16.005;;;;;;;

"Kreiszeitung Online";3.903.262;3.691.306;95 %;211.956;1.996.355;1.872.096;124.259;1.906.907;1.819.210;87.697;;;;


"kuechengoetter.de";2.503.530;2.039.902;81 %;463.628;1.088.630;881.094;207.536;1.414.900;1.158.808;256.092;;;;


"Küchenplaner-Magazin";35.198;29.751;85 %;5.447;35.198;29.751;5.447;;;;;;;

"Kunststoff Magazin";96.809;68.818;71 %;27.991;96.809;68.818;27.991;;;;;;;

"Kunststoffe.de";100.450;70.811;70 %;29.639;100.450;70.811;29.639;;;;;;;

"KunststoffWeb";152.882;111.529;73 %;41.353;152.882;111.529;41.353;;;;;;;

"kununu.com";4.185.346;3.481.090;83 %;704.256;4.185.346;3.481.090;704.256;;;;;;;

"LABO";54.058;41.304;76 %;12.754;54.058;41.304;12.754;;;;;;;

"Laborpraxis";115.534;88.262;76 %;27.272;115.534;88.262;27.272;;;;;;;

"Ladies.de";14.884.306;14.172.331;95 %;711.975;4.802.560;4.489.260;313.300;10.081.746;9.683.071;398.675;;;;


"LandesWelle Thüringen";58.595;56.531;96 %;2.064;58.595;56.531;2.064;;;;;;;

"Langenscheidt Online Wörterbuch";2.626.182;1.451.858;55 %;1.174.324;2.626.182;1.451.858;1.174.324;;;;;;;

"LAOLA1.tv";4.067.213;1.026.665;25 %;3.040.548;4.019.000;1.007.280;3.011.720;48.213;19.385;28.828;;;;



"laut.de - der musikkanal";1.724.140;1.392.083;81 %;332.057;1.724.140;1.392.083;332.057;;;;;;;

"LAVIVA";121.318;113.632;94 %;7.686;121.318;113.632;7.686;;;;;;;

"Leben & erziehen";231.778;209.165;90 %;22.613;231.778;209.165;22.613;;;;;;;

"lebensmittelzeitung.net";833.440;698.601;84 %;134.839;709.521;588.965;120.556;123.919;109.636;14.283;;;;




"LECKER.de";11.238.969;9.864.947;88 %;1.374.022;4.307.920;3.770.043;537.877;6.931.049;6.094.904;836.145;;;;






"leichtathletik.de";608.337;551.746;91 %;56.591;608.337;551.746;56.591;;;;;;;

